kind,level,date,time,symbol,price,v1,v2,note
UNDER急増,,2026-07-21,09:01:00,4446,790.0,41.6,14400,安値圏
UNDER急増,,2026-07-21,09:01:01,5597,1326.0,31.8,6200,安値圏
UNDER急増,,2026-07-21,09:01:10,5031,323.0,55.1,53600,安値圏
UNDER急増,,2026-07-21,09:01:17,5591,810.0,80.6,10400,安値圏
UNDER急増,,2026-07-21,09:01:22,5137,216.0,147.6,118700,安値圏
UNDER急増,,2026-07-21,09:01:23,9115,821.0,163.5,12100,安値圏
UNDER急増,,2026-07-21,09:01:26,7071,375.0,31.9,59100,安値圏
UNDER急増,,2026-07-21,09:01:35,4570,945.0,47.4,15700,安値圏
UNDER急増,,2026-07-21,09:01:38,3653,634.0,26.7,2700,安値圏
UNDER急増,,2026-07-21,09:01:46,3963,333.0,310.9,45700,安値圏
UNDER急増,,2026-07-21,09:01:48,4575,719.0,62.2,36100,安値圏
UNDER急増,,2026-07-21,09:01:53,5599,1146.0,50.6,8200,安値圏
UNDER急増,,2026-07-21,09:02:16,5892,2056.0,33.1,5900,安値圏
UNDER急増,,2026-07-21,09:02:17,9327,186.0,27.4,1700,安値圏
UNDER急増,,2026-07-21,09:02:43,4570,949.0,45.8,15700,安値圏
UNDER急増,,2026-07-21,09:03:48,4570,949.0,44.7,15600,安値圏
UNDER急増,,2026-07-21,09:04:04,7018,9720.0,21.9,2300,安値圏
UNDER急増,,2026-07-21,09:04:40,5817,1016.0,35.8,12500,安値圏
UNDER急増,,2026-07-21,09:05:10,7018,9720.0,25.2,2800,安値圏
UNDER急増,,2026-07-21,09:06:52,2998,507.0,75.0,44800,安値圏
UNDER急増,,2026-07-21,09:06:54,3692,4980.0,30.3,5000,安値圏
UNDER急増,,2026-07-21,09:07:50,4412,1181.0,78.3,7200,安値圏
UNDER急増,,2026-07-21,09:07:54,3692,4945.0,27.3,5300,安値圏
小口売り連続,WATCH,2026-07-21,09:08:08,4412,1180.0,5,,
小口売り連続,WATCH,2026-07-21,09:09:23,5599,1137.0,5,,
UNDER急増,,2026-07-21,09:09:50,4412,1166.0,78.7,21000,安値圏
UNDER急増,,2026-07-21,09:09:55,3692,4885.0,22.3,4800,安値圏
UNDER急増,,2026-07-21,09:10:03,6495,121.0,86.5,90600,安値圏
UNDER急増,,2026-07-21,09:11:22,4075,860.0,138.2,7600,安値圏
UNDER急増,,2026-07-21,09:11:32,9229,142.0,172.7,194500,安値圏
UNDER急増,,2026-07-21,09:15:04,4075,860.0,138.2,7600,安値圏
UNDER急増,,2026-07-21,09:18:38,5132,2022.0,28.0,6000,安値圏
UNDER急増,,2026-07-21,09:19:27,6495,121.0,86.4,90500,安値圏
UNDER急増,,2026-07-21,09:21:27,5132,1998.0,47.5,7500,安値圏
UNDER急増,,2026-07-21,09:22:43,4075,863.0,137.5,7700,安値圏
UNDER急増,,2026-07-21,09:22:46,6620,667.0,81.5,23800,安値圏
小口売り連続,WATCH,2026-07-21,09:25:25,5817,1006.0,5,,
UNDER急増,,2026-07-21,09:30:47,8798,122.0,21.4,8600,安値圏
小口売り連続,WATCH,2026-07-21,09:34:36,5817,1020.0,5,,
UNDER急増,,2026-07-21,09:34:38,5132,1996.0,28.7,6000,安値圏
小口売り連続,WATCH,2026-07-21,09:39:51,2998,511.0,5,,
小口売り連続,WATCH,2026-07-21,09:40:11,5817,1020.0,5,,
小口売り連続,WATCH,2026-07-21,09:43:22,4412,1176.0,5,,
小口売り連続,WATCH,2026-07-21,09:43:32,5599,1123.0,5,,
UNDER急増,,2026-07-21,09:51:47,5132,1992.0,23.5,6000,安値圏
小口売り連続,WATCH,2026-07-21,09:51:51,3686,69.0,5,,
小口売り連続,WATCH,2026-07-21,09:56:14,9229,142.0,5,,
小口売り連続,WATCH,2026-07-21,10:01:43,7018,9710.0,5,,
小口売り連続,WATCH,2026-07-21,10:02:11,4418,865.0,5,,
UNDER急増,,2026-07-21,10:10:26,6495,121.0,86.0,91000,安値圏
小口売り連続,WATCH,2026-07-21,10:24:55,3686,69.0,5,,
小口売り連続,WATCH,2026-07-21,10:30:04,5817,962.0,5,,
小口売り連続,WATCH,2026-07-21,10:37:31,3686,69.0,5,,
小口売り連続,WATCH,2026-07-21,10:56:53,5597,1327.0,5,,
UNDER急増,,2026-07-21,11:07:03,7018,9700.0,22.9,3000,安値圏
小口売り連続,WATCH,2026-07-21,11:16:05,4412,1170.0,5,,
UNDER急増,,2026-07-21,11:19:54,7071,375.0,38.2,69100,安値圏
小口売り連続,WATCH,2026-07-21,11:26:45,3686,69.0,5,,
UNDER急増,,2026-07-21,12:19:05,6495,121.0,32.4,26700,安値圏
UNDER急増,,2026-07-21,12:27:06,3686,69.0,128.7,37200,安値圏
UNDER急増,,2026-07-21,12:31:03,5137,215.0,133.1,124300,安値圏
