date,entry_time,exit_time,strategy,symbol,trigger,entry_px,exit_px,pct,exit_reason,sl_pct,tp_pct
2026-07-21,13:06:17,13:40:53,AI午後引け戻り,4840,UNDER急増,579.0,591.0,2.07,利確,-2.0,2.0
2026-07-21,14:36:35,15:30:01,AI午後引け戻り,4488,UNDER急増,2110.0,2120.0,0.47,大引け,-2.0,2.0
2026-07-22,13:00:12,14:25:54,AI午後引け戻り,7602,UNDER急増,167.0,163.0,-2.4,損切り,-2.0,2.0
2026-07-22,13:07:21,15:30:00,AI午後引け戻り,4446,UNDER急増,772.0,777.0,0.65,大引け,-2.0,2.0
2026-07-22,14:00:38,15:30:00,AI午後引け戻り,4011,UNDER急増,1973.0,1983.0,0.51,大引け,-2.0,2.0
2026-07-22,14:09:22,15:30:00,AI午後引け戻り,6228,UNDER急増,489.0,492.0,0.61,大引け,-2.0,2.0
2026-07-23,13:07:48,15:30:00,AI午後引け戻り,4840,UNDER急増,575.0,579.0,0.7,大引け,-2.0,2.0
2026-07-23,13:58:49,14:22:13,AI午後引け戻り,4813,UNDER急増,336.0,343.0,2.08,利確,-2.0,2.0
2026-07-23,14:09:20,15:30:00,AI午後引け戻り,4056,UNDER急増,208.0,208.0,0.0,大引け,-2.0,2.0
2026-07-24,13:28:38,15:30:00,AI午後引け戻り,2998,UNDER急増,501.0,497.0,-0.8,大引け,-2.0,2.0
2026-07-24,13:40:03,15:30:00,AI午後引け戻り,4894,UNDER急増,4240.0,4195.0,-1.06,大引け,-2.0,2.0
2026-07-24,13:43:26,15:30:00,AI午後引け戻り,5588,UNDER急増,758.0,747.0,-1.45,大引け,-2.0,2.0
2026-07-24,14:05:30,15:30:00,AI複合シグナル,4894,小口売り連続+UNDER急増,4210.0,4195.0,-0.36,大引け,-1.0,1.0
2026-07-27,13:18:36,15:30:00,AI午後引け戻り,6217,UNDER急増,734.0,736.0,0.27,大引け,-2.0,2.0
2026-07-27,14:28:30,15:15:16,AI午後引け戻り,2998,UNDER急増,504.0,515.0,2.18,利確,-2.0,2.0
2026-07-28,13:01:16,13:03:47,AI複合シグナル,9130,小口売り連続+UNDER急増,1441.0,1456.0,1.04,利確,-1.0,1.0
2026-07-28,13:07:47,13:36:57,AI複合シグナル,6217,小口売り連続+UNDER急増,692.0,699.0,1.01,利確,-1.0,1.0
2026-07-28,13:07:47,15:30:00,AI午後引け戻り,6217,UNDER急増,692.0,691.0,-0.14,大引け,-2.0,2.0
2026-07-28,13:18:38,15:30:00,AI午後引け戻り,5591,UNDER急増,784.0,788.0,0.51,大引け,-2.0,2.0
2026-07-28,13:18:38,15:30:00,AI複合シグナル,5591,小口売り連続+UNDER急増,784.0,788.0,0.51,大引け,-1.0,1.0
2026-07-28,13:55:13,15:30:00,AI午後引け戻り,5588,UNDER急増,755.0,769.0,1.85,大引け,-2.0,2.0
2026-07-28,14:04:56,14:27:31,AI複合シグナル,5588,小口売り連続+UNDER急増,756.0,764.0,1.06,利確,-1.0,1.0
2026-07-28,14:13:32,15:30:00,AI午後引け戻り,4011,UNDER急増,1923.0,1921.0,-0.1,大引け,-2.0,2.0
2026-07-28,14:13:32,15:30:00,AI複合シグナル,4011,小口売り連続+UNDER急増,1923.0,1921.0,-0.1,大引け,-1.0,1.0
2026-07-28,14:43:54,15:30:01,AI午後引け戻り,7794,UNDER急増,890.0,888.0,-0.22,大引け,-2.0,2.0
2026-07-29,13:02:42,14:30:07,AI午後引け戻り,5588,UNDER急増,760.0,776.0,2.11,利確,-2.0,2.0
2026-07-29,13:03:05,15:09:36,AI午後引け戻り,9130,UNDER急増,1415.0,1381.0,-2.4,損切り,-2.0,2.0
2026-07-29,13:08:21,13:40:17,AI複合シグナル,4395,小口売り連続+UNDER急増,693.0,686.0,-1.01,損切り,-1.0,1.0
2026-07-29,13:14:27,15:30:01,AI午後引け戻り,4575,UNDER急増,673.0,681.0,1.19,大引け,-2.0,2.0
2026-07-29,13:23:09,15:30:00,AI午後引け戻り,4395,UNDER急増,691.0,697.0,0.87,大引け,-2.0,2.0
2026-07-29,13:23:51,15:25:01,AI午後引け戻り,5026,UNDER急増,552.0,569.0,3.08,利確,-2.0,2.0
2026-07-29,13:25:15,14:50:47,AI午後引け戻り,4840,UNDER急増,502.0,514.0,2.39,利確,-2.0,2.0
2026-07-29,13:29:54,15:30:00,AI午後引け戻り,5599,UNDER急増,1054.0,1053.0,-0.09,大引け,-2.0,2.0
2026-07-29,13:34:44,15:30:00,AI午後引け戻り,6620,UNDER急増,633.0,637.0,0.63,大引け,-2.0,2.0
2026-07-30,13:01:17,13:08:38,AI複合シグナル,9227,小口売り連続+UNDER急増,867.0,876.0,1.04,利確,-1.0,1.0
2026-07-30,13:04:56,13:21:25,AI午後引け戻り,9227,UNDER急増,870.0,888.0,2.07,利確,-2.0,2.0
2026-07-30,13:41:33,13:49:00,AI複合シグナル,9256,小口売り連続+UNDER急増,1346.0,1331.0,-1.11,損切り,-1.0,1.0
2026-07-30,13:41:33,14:03:39,AI午後引け戻り,9256,UNDER急増,1346.0,1373.0,2.01,利確,-2.0,2.0
2026-07-31,13:17:39,15:30:00,AI午後引け戻り,9130,UNDER急増,1412.0,1415.0,0.21,大引け,-2.0,2.0
2026-07-31,14:46:20,15:23:34,AI午後引け戻り,4840,UNDER急増,515.0,532.0,3.3,利確,-2.0,2.0
2026-08-03,09:06:28,09:07:13,AI投げ売り反発,1514,投げ売り,601.0,594.0,-1.16,損切り,-1.0,2.0
2026-08-03,13:03:08,15:30:00,AI午後引け戻り,9130,UNDER急増,1455.0,1462.0,0.48,大引け,-2.0,2.0
2026-08-03,13:05:09,13:07:45,AI複合シグナル,9256,小口売り連続+UNDER急増,1272.0,1287.0,1.18,利確,-1.0,1.0
2026-08-03,13:47:39,15:30:00,AI午後引け戻り,4446,UNDER急増,792.0,804.0,1.52,大引け,-2.0,2.0
2026-08-04,09:00:20,09:12:00,AI投げ売り反発,4813,投げ売り,346.0,353.0,2.02,利確,-1.0,2.0
2026-08-04,13:48:25,15:30:01,AI午後引け戻り,9235,UNDER急増,500.0,505.0,1.0,大引け,-2.0,2.0
2026-08-05,13:41:24,14:07:25,AI複合シグナル,9130,小口売り連続+UNDER急増,1497.0,1481.0,-1.07,損切り,-1.0,1.0
2026-08-05,13:41:24,15:16:32,AI午後引け戻り,9130,UNDER急増,1497.0,1467.0,-2.0,損切り,-2.0,2.0
2026-08-05,14:52:38,15:30:01,AI午後引け戻り,6433,UNDER急増,960.0,964.0,0.42,大引け,-2.0,2.0
2026-08-06,09:03:23,09:08:25,AI投げ売り反発,9256,投げ売り,1320.0,1347.0,2.05,利確,-1.0,2.0
2026-08-06,13:01:34,15:30:00,AI午後引け戻り,3444,UNDER急増,974.0,977.0,0.31,大引け,-2.0,2.0
2026-08-06,13:01:54,15:30:01,AI午後引け戻り,9130,UNDER急増,1444.0,1439.0,-0.35,大引け,-2.0,2.0
2026-08-06,13:04:05,13:53:15,AI複合シグナル,9235,小口売り連続+UNDER急増,495.0,500.0,1.01,利確,-1.0,1.0
2026-08-06,13:06:59,15:30:00,AI午後引け戻り,5132,UNDER急増,1864.0,1885.0,1.13,大引け,-2.0,2.0
2026-08-06,13:46:06,15:30:00,AI午後引け戻り,4395,UNDER急増,698.0,700.0,0.29,大引け,-2.0,2.0
2026-08-06,13:49:26,15:30:00,AI午後引け戻り,7794,UNDER急増,873.0,874.0,0.11,大引け,-2.0,2.0
2026-08-06,13:49:26,15:30:00,AI複合シグナル,7794,小口売り連続+UNDER急増,873.0,874.0,0.11,大引け,-1.0,1.0
2026-08-06,14:01:15,15:30:00,AI午後引け戻り,5707,UNDER急増,944.0,952.0,0.85,大引け,-2.0,2.0
2026-08-06,14:23:33,15:30:01,AI投げ売り反発,5817,投げ売り,999.0,1010.0,1.1,大引け,-1.0,2.0
2026-08-06,14:24:17,15:30:01,AI午後引け戻り,5817,UNDER急増,1000.0,1010.0,1.0,大引け,-2.0,2.0
2026-08-07,13:19:30,13:24:33,AI午後引け戻り,6433,UNDER急増,993.0,1016.0,2.32,利確,-2.0,2.0
2026-08-07,14:02:50,14:20:07,AI午後引け戻り,6620,UNDER急増,651.0,665.0,2.15,利確,-2.0,2.0
2026-08-07,14:24:54,15:30:00,AI午後引け戻り,5026,UNDER急増,563.0,561.0,-0.36,大引け,-2.0,2.0
2026-08-07,14:47:01,15:30:00,AI複合シグナル,5026,小口売り連続+UNDER急増,562.0,561.0,-0.18,大引け,-1.0,1.0
2026-08-10,13:14:17,15:30:00,AI午後引け戻り,4570,UNDER急増,998.0,998.0,0.0,大引け,-2.0,2.0
2026-08-10,13:59:53,15:30:00,AI午後引け戻り,3444,UNDER急増,987.0,990.0,0.3,大引け,-2.0,2.0
2026-08-12,09:09:19,09:17:43,AI投げ売り反発,4263,投げ売り,522.0,533.0,2.11,利確,-1.0,2.0
2026-08-13,09:18:44,09:47:27,AI投げ売り反発,4570,投げ売り,988.0,1008.0,2.02,利確,-1.0,2.0
2026-08-13,13:17:11,15:25:00,AI午後引け戻り,4811,UNDER急増,814.0,833.0,2.33,利確,-2.0,2.0
2026-08-13,14:17:22,15:30:02,AI午後引け戻り,5729,UNDER急増,1737.0,1746.0,0.52,大引け,-2.0,2.0
2026-08-13,14:17:23,15:30:02,AI午後引け戻り,5817,UNDER急増,1013.0,1015.0,0.2,大引け,-2.0,2.0
2026-08-13,14:17:31,15:30:00,AI午後引け戻り,4011,UNDER急増,2099.0,2100.0,0.05,大引け,-2.0,2.0
2026-08-13,14:17:33,15:30:00,AI午後引け戻り,5026,UNDER急増,576.0,576.0,0.0,大引け,-2.0,2.0
2026-08-13,14:17:37,15:22:44,AI複合シグナル,2998,小口売り連続+UNDER急増,494.0,499.0,1.01,利確,-1.0,1.0
2026-08-13,14:17:39,15:30:00,AI午後引け戻り,6217,UNDER急増,801.0,802.0,0.12,大引け,-2.0,2.0
