symbol,p_resume,aft_low,aft_high,close,chg_pct,drawup_pct,drawdown_pct
4889,1148.0,1134.0,1154.0,1135.0,-1.13,0.52,-1.22
6217,794.0,775.0,800.0,784.0,-1.26,0.76,-2.39
9337,1411.0,1401.0,1438.0,1438.0,1.91,1.91,-0.71
4263,428.0,420.0,430.0,423.0,-1.17,0.47,-1.87
5817,1015.0,997.0,1018.0,1000.0,-1.48,0.3,-1.77
5707,1058.0,1055.0,1080.0,1059.0,0.09,2.08,-0.28
4013,650.0,644.0,652.0,647.0,-0.46,0.31,-0.92
3692,5670.0,5580.0,5670.0,5620.0,-0.88,0.0,-1.59
3747,416.0,412.0,417.0,412.0,-0.96,0.24,-0.96
4894,5410.0,5300.0,5410.0,5300.0,-2.03,0.0,-2.03
4579,553.0,548.0,554.0,550.0,-0.54,0.18,-0.9
4288,469.0,464.0,469.0,465.0,-0.85,0.0,-1.07
7794,981.0,961.0,983.0,972.0,-0.92,0.2,-2.04
3930,770.0,769.0,774.0,771.0,0.13,0.52,-0.13
4888,356.0,352.0,358.0,358.0,0.56,0.56,-1.12
3449,3755.0,3685.0,3770.0,3725.0,-0.8,0.4,-1.86
6433,1094.0,1057.0,1114.0,1068.0,-2.38,1.83,-3.38
9556,2232.0,2176.0,2232.0,2197.0,-1.57,0.0,-2.51
1514,670.0,665.0,678.0,667.0,-0.45,1.19,-0.75
2216,1102.0,1091.0,1103.0,1094.0,-0.73,0.09,-1.0
5034,2334.0,2331.0,2358.0,2358.0,1.03,1.03,-0.13
6228,534.0,522.0,538.0,538.0,0.75,0.75,-2.25
7034,344.0,342.0,344.0,342.0,-0.58,0.0,-0.58
3803,584.0,580.0,584.0,580.0,-0.68,0.0,-0.68
5287,894.0,860.0,896.0,895.0,0.11,0.22,-3.8
4395,727.0,716.0,727.0,718.0,-1.24,0.0,-1.51
4418,1132.0,1091.0,1137.0,1108.0,-2.12,0.44,-3.62
5729,1781.0,1757.0,1788.0,1769.0,-0.67,0.39,-1.35
5132,2012.0,2000.0,2024.0,2024.0,0.6,0.6,-0.6
4422,573.0,563.0,577.0,567.0,-1.05,0.7,-1.75
6580,882.0,870.0,882.0,882.0,0.0,0.0,-1.36
5590,705.0,702.0,712.0,702.0,-0.43,0.99,-0.43
5597,1372.0,1350.0,1394.0,1350.0,-1.6,1.6,-1.6
9256,1028.0,1022.0,1052.0,1022.0,-0.58,2.33,-0.58
4414,1082.0,1068.0,1084.0,1084.0,0.18,0.18,-1.29
5599,1001.0,1000.0,1003.0,1000.0,-0.1,0.2,-0.1
3963,346.0,340.0,346.0,341.0,-1.45,0.0,-1.73
4166,629.0,627.0,631.0,630.0,0.16,0.32,-0.32
2998,549.0,540.0,550.0,541.0,-1.46,0.18,-1.64
4570,1045.0,1041.0,1054.0,1047.0,0.19,0.86,-0.38
5262,1132.0,1119.0,1136.0,1120.0,-1.06,0.35,-1.15
4840,820.0,773.0,899.0,782.0,-4.63,9.63,-5.73
4199,821.0,788.0,821.0,800.0,-2.56,0.0,-4.02
9238,387.0,384.0,389.0,384.0,-0.78,0.52,-0.78
6620,700.0,700.0,705.0,701.0,0.14,0.71,0.0
4378,533.0,529.0,534.0,534.0,0.19,0.19,-0.75
4075,1780.0,1780.0,1780.0,1780.0,0.0,0.0,0.0
1885,2107.0,2078.0,2113.0,2103.0,-0.19,0.28,-1.38
7369,358.0,358.0,358.0,358.0,0.0,0.0,0.0
5591,875.0,860.0,879.0,869.0,-0.69,0.46,-1.71
