kind,level,date,time,symbol,price,v1
UNDER急増,,2026-08-03,09:02:23,4013,708.0,139.8
UNDER急増,,2026-08-03,09:02:27,9235,484.0,22.1
UNDER急増,,2026-08-03,09:02:49,5026,548.0,20.7
UNDER急増,,2026-08-03,09:02:51,5724,2326.0,28.0
UNDER急増,,2026-08-03,09:02:53,6228,545.0,64.7
UNDER急増,,2026-08-03,09:03:01,6217,686.0,20.9
UNDER急増,,2026-08-03,09:03:01,4418,794.0,66.7
UNDER急増,,2026-08-03,09:03:07,5132,1874.0,84.4
UNDER急増,,2026-08-03,09:03:41,4075,821.0,57.4
UNDER急増,,2026-08-03,09:03:59,5729,1495.0,27.8
UNDER急増,,2026-08-03,09:04:00,5599,1055.0,35.4
UNDER急増,,2026-08-03,09:04:01,7373,933.0,60.2
UNDER急増,,2026-08-03,09:04:02,6433,880.0,34.5
UNDER急増,,2026-08-03,09:04:18,5591,790.0,62.2
小口売り連続,WATCH,2026-08-03,09:04:26,2216,1089.0,5
UNDER急増,,2026-08-03,09:05:07,6433,865.0,35.8
UNDER急増,,2026-08-03,09:05:15,5729,1499.0,27.4
UNDER急増,,2026-08-03,09:05:43,9235,482.0,166.7
UNDER急増,,2026-08-03,09:05:52,5026,548.0,75.0
UNDER急増,,2026-08-03,09:06:08,6433,870.0,31.2
UNDER急増,,2026-08-03,09:06:42,4165,585.0,36.5
UNDER急増,,2026-08-03,09:08:32,5707,838.0,71.9
UNDER急増,,2026-08-03,09:08:39,4075,821.0,62.6
小口売り連続,WATCH,2026-08-03,09:09:03,9256,1341.0,5
UNDER急増,,2026-08-03,09:10:01,5031,317.0,48.8
UNDER急増,,2026-08-03,09:11:19,5724,2305.0,23.7
UNDER急増,,2026-08-03,09:12:01,9130,1505.0,47.9
UNDER急増,,2026-08-03,09:13:20,5026,548.0,25.2
UNDER急増,,2026-08-03,09:13:53,4412,1129.0,43.3
UNDER急増,,2026-08-03,09:14:09,9130,1485.0,35.7
UNDER急増,,2026-08-03,09:16:13,7375,1067.0,29.7
UNDER急増,,2026-08-03,09:16:14,9130,1490.0,47.5
UNDER急増,,2026-08-03,09:16:24,5597,1200.0,24.0
UNDER急増,,2026-08-03,09:16:31,4395,662.0,29.1
UNDER急増,,2026-08-03,09:17:16,9130,1487.0,31.7
UNDER急増,,2026-08-03,09:17:36,5026,545.0,55.2
小口売り連続,WATCH,2026-08-03,09:17:53,9256,1354.0,5
UNDER急増,,2026-08-03,09:18:15,4412,1129.0,39.8
UNDER急増,,2026-08-03,09:19:10,2998,488.0,62.7
UNDER急増,,2026-08-03,09:19:28,4395,646.0,20.5
小口売り連続,WATCH,2026-08-03,09:20:02,4165,579.0,5
UNDER急増,,2026-08-03,09:24:11,4165,578.0,33.2
UNDER急増,,2026-08-03,09:24:34,4395,639.0,22.1
小口売り連続,WATCH,2026-08-03,09:24:39,9256,1316.0,5
UNDER急増,,2026-08-03,09:25:36,4395,642.0,21.6
UNDER急増,,2026-08-03,09:26:19,5132,1880.0,98.2
UNDER急増,,2026-08-03,09:26:19,6433,851.0,39.2
UNDER急増,,2026-08-03,09:26:41,4395,633.0,23.7
小口売り連続,WATCH,2026-08-03,09:26:57,2216,1080.0,5
小口売り連続,WATCH,2026-08-03,09:27:26,4446,818.0,5
UNDER急増,,2026-08-03,09:28:16,6433,855.0,36.6
小口売り連続,WATCH,2026-08-03,09:28:21,5817,913.0,5
小口売り連続,WATCH,2026-08-03,09:28:31,4011,1880.0,5
小口売り連続,WATCH,2026-08-03,09:29:16,6217,675.0,5
UNDER急増,,2026-08-03,09:29:22,6433,850.0,36.4
UNDER急増,,2026-08-03,09:29:47,4395,630.0,29.5
UNDER急増,,2026-08-03,09:30:04,6217,674.0,83.5
小口売り連続,WATCH,2026-08-03,09:30:05,9256,1315.0,5
小口売り連続,WATCH,2026-08-03,09:30:05,2216,1075.0,5
小口売り連続,WATCH,2026-08-03,09:30:13,9256,1315.0,5
小口売り連続,STRONG,2026-08-03,09:30:17,9256,1315.0,10
UNDER急増,,2026-08-03,09:30:20,9235,474.0,184.9
UNDER急増,,2026-08-03,09:33:43,4575,699.0,97.9
UNDER急増,,2026-08-03,09:34:00,4395,631.0,26.2
UNDER急増,,2026-08-03,09:36:24,4575,701.0,77.7
小口売り連続,STRONG,2026-08-03,09:36:43,4446,812.0,10
小口売り連続,WATCH,2026-08-03,09:44:02,4011,1863.0,5
UNDER急増,,2026-08-03,09:47:14,2998,481.0,80.6
UNDER急増,,2026-08-03,09:58:36,7794,827.0,38.9
小口売り連続,WATCH,2026-08-03,10:00:31,9130,1452.0,5
UNDER急増,,2026-08-03,10:04:49,6228,545.0,57.5
UNDER急増,,2026-08-03,10:06:01,6228,545.0,60.4
小口売り連続,WATCH,2026-08-03,10:13:32,5817,917.0,5
小口売り連続,WATCH,2026-08-03,10:14:36,4894,4435.0,5
UNDER急増,,2026-08-03,10:16:20,6433,854.0,29.3
小口売り連続,WATCH,2026-08-03,10:16:37,6217,675.0,5
UNDER急増,,2026-08-03,10:16:58,7373,935.0,60.4
UNDER急増,,2026-08-03,10:21:01,9256,1258.0,61.0
小口売り連続,WATCH,2026-08-03,10:23:29,9256,1250.0,5
UNDER急増,,2026-08-03,10:24:12,9256,1257.0,56.7
UNDER急増,,2026-08-03,10:25:27,9256,1257.0,56.4
UNDER急増,,2026-08-03,10:26:43,9256,1256.0,58.0
UNDER急増,,2026-08-03,10:29:17,9256,1256.0,52.2
小口売り連続,WATCH,2026-08-03,10:33:07,6620,662.0,5
UNDER急増,,2026-08-03,10:45:32,9130,1455.0,40.3
UNDER急増,,2026-08-03,10:45:53,4013,712.0,99.4
UNDER急増,,2026-08-03,10:47:10,4412,1107.0,20.8
UNDER急増,,2026-08-03,10:47:10,4075,823.0,25.4
小口売り連続,WATCH,2026-08-03,10:54:29,5817,935.0,5
小口売り連続,WATCH,2026-08-03,10:58:08,4894,4475.0,5
小口売り連続,WATCH,2026-08-03,11:01:08,9256,1266.0,5
小口売り連続,WATCH,2026-08-03,11:25:09,5817,943.0,5
小口売り連続,WATCH,2026-08-03,11:27:23,2216,1088.0,5
小口売り連続,WATCH,2026-08-03,12:30:48,9256,1254.0,5
UNDER急増,,2026-08-03,12:34:10,9256,1257.0,55.6
UNDER急増,,2026-08-03,12:38:28,9256,1257.0,55.9
小口売り連続,WATCH,2026-08-03,12:55:49,1514,576.0,5
UNDER急増,,2026-08-03,13:03:08,9130,1455.0,29.4
小口売り連続,WATCH,2026-08-03,13:03:24,5817,950.0,5
小口売り連続,WATCH,2026-08-03,13:05:09,9256,1272.0,5
小口売り連続,WATCH,2026-08-03,13:26:15,9256,1275.0,5
UNDER急増,,2026-08-03,13:30:43,2998,480.0,86.3
小口売り連続,WATCH,2026-08-03,13:33:23,9256,1273.0,5
UNDER急増,,2026-08-03,13:33:26,2998,480.0,75.7
小口売り連続,WATCH,2026-08-03,13:43:19,9256,1272.0,5
小口売り連続,WATCH,2026-08-03,13:45:16,5707,862.0,5
小口売り連続,WATCH,2026-08-03,13:45:50,6433,900.0,5
UNDER急増,,2026-08-03,13:47:39,4446,792.0,146.8
UNDER急増,,2026-08-03,13:49:33,4446,790.0,139.1
小口売り連続,WATCH,2026-08-03,14:01:36,5724,2311.0,5
小口売り連続,WATCH,2026-08-03,14:15:49,5817,941.0,5
小口売り連続,WATCH,2026-08-03,15:05:54,9256,1281.0,5
小口売り連続,STRONG,2026-08-03,15:07:08,9256,1280.0,10
小口売り連続,WATCH,2026-08-03,15:13:27,9130,1463.0,5
小口売り連続,WATCH,2026-08-03,15:23:02,1514,584.0,5
小口売り連続,WATCH,2026-08-03,15:24:13,7373,929.0,5
小口売り連続,WATCH,2026-08-03,15:24:59,7373,927.0,5
UNDER急増,,2026-08-04,09:01:06,5590,660.0,71.6
UNDER急増,,2026-08-04,09:01:14,7794,857.0,33.9
UNDER急増,,2026-08-04,09:01:22,5892,2122.0,27.9
UNDER急増,,2026-08-04,09:01:23,4165,559.0,45.6
UNDER急増,,2026-08-04,09:01:25,9130,1460.0,39.8
UNDER急増,,2026-08-04,09:01:30,4013,708.0,129.1
UNDER急増,,2026-08-04,09:01:33,6228,553.0,61.5
UNDER急増,,2026-08-04,09:01:49,4813,347.0,59.2
UNDER急増,,2026-08-04,09:01:57,5597,1258.0,31.4
UNDER急増,,2026-08-04,09:02:24,4165,562.0,49.6
UNDER急増,,2026-08-04,09:02:58,2998,485.0,59.9
UNDER急増,,2026-08-04,09:03:01,4570,947.0,61.1
UNDER急増,,2026-08-04,09:03:34,9235,497.0,20.5
UNDER急増,,2026-08-04,09:03:36,4418,783.0,53.7
UNDER急増,,2026-08-04,09:04:23,4813,347.0,72.3
UNDER急増,,2026-08-04,09:05:10,5729,1550.0,21.4
UNDER急増,,2026-08-04,09:05:33,4412,1136.0,50.5
UNDER急増,,2026-08-04,09:10:03,4412,1136.0,29.3
UNDER急増,,2026-08-04,09:10:10,4840,533.0,88.4
小口売り連続,WATCH,2026-08-04,09:14:37,4013,714.0,5
小口売り連続,WATCH,2026-08-04,09:17:38,9256,1322.0,5
UNDER急増,,2026-08-04,09:20:01,4813,346.0,100.9
UNDER急増,,2026-08-04,09:22:46,5599,1085.0,34.9
UNDER急増,,2026-08-04,09:24:51,4840,531.0,70.7
小口売り連続,WATCH,2026-08-04,09:26:43,3692,5390.0,5
UNDER急増,,2026-08-04,09:31:03,4840,533.0,85.4
小口売り連続,WATCH,2026-08-04,09:34:16,2216,1061.0,5
小口売り連続,WATCH,2026-08-04,09:35:41,3692,5350.0,5
UNDER急増,,2026-08-04,09:36:35,7794,854.0,32.1
小口売り連続,WATCH,2026-08-04,09:39:12,5707,896.0,5
