date,time,strategy,symbol,price,under_before,under_after,under_inc,under_pct,consecutive
2026-07-13,09:00:02,投げ売り/買い気配へぶつけ,4813,338.0,,,,,
2026-07-13,09:00:46,小口売り連続/WATCH,3692,5230.0,,,,,5
2026-07-13,09:01:01,UNDER急増,5137,225.0,83500,201200,117700,141.0,
2026-07-13,09:01:03,UNDER急増,7018,10150.0,11700,14100,2400,20.5,
2026-07-13,09:01:12,UNDER急増,9130,1506.0,18900,27400,8500,45.0,
2026-07-13,09:01:17,UNDER急増,4840,657.0,5900,7200,1300,22.0,
2026-07-13,09:01:25,UNDER急増,3692,5210.0,23500,28400,4900,20.9,
2026-07-13,09:01:29,UNDER急増,5132,1971.0,13400,19000,5600,41.8,
2026-07-13,09:01:33,UNDER急増,5817,850.0,46600,59500,12900,27.7,
2026-07-13,09:01:42,UNDER急増,5724,2470.0,24900,31400,6500,26.1,
2026-07-13,09:01:44,UNDER急増,6620,746.0,76900,94700,17800,23.1,
2026-07-13,09:01:45,UNDER急増,4165,549.0,139000,194300,55300,39.8,
2026-07-13,09:02:07,UNDER急増,5588,750.0,11500,23900,12400,107.8,
2026-07-13,09:02:25,UNDER急増,4075,906.0,7400,10200,2800,37.8,
2026-07-13,09:02:30,UNDER急増,3692,5250.0,24300,29200,4900,20.2,
2026-07-13,09:02:36,UNDER急増,5817,856.0,45700,58600,12900,28.2,
2026-07-13,09:02:53,UNDER急増,5591,849.0,10300,27100,16800,163.1,
2026-07-13,09:03:39,UNDER急増,9115,818.0,9100,21600,12500,137.4,
2026-07-13,09:03:41,UNDER急増,9130,1520.0,21800,30300,8500,39.0,
2026-07-13,09:06:43,UNDER急増,4446,870.0,53300,69100,15800,29.6,
2026-07-13,09:07:00,UNDER急増,5132,1983.0,20200,25200,5000,24.8,
2026-07-13,09:08:46,UNDER急増,4075,909.0,10300,19400,9100,88.3,
2026-07-13,09:09:45,UNDER急増,4446,873.0,59600,74400,14800,24.8,
2026-07-13,09:11:11,UNDER急増,4075,910.0,9600,19400,9800,102.1,
2026-07-13,09:12:32,小口売り連続/WATCH,5588,751.0,,,,,5
2026-07-13,09:12:34,UNDER急増,5707,829.0,83200,114300,31100,37.4,
2026-07-13,09:12:47,UNDER急増,4488,2092.0,12400,17300,4900,39.5,
2026-07-13,09:13:11,小口売り連続/WATCH,4894,4760.0,,,,,5
2026-07-13,09:15:20,小口売り連続/WATCH,4575,773.0,,,,,5
2026-07-13,09:18:35,小口売り連続/WATCH,7602,160.0,,,,,5
2026-07-13,09:24:21,UNDER急増,5892,2075.0,24300,30300,6000,24.7,
2026-07-13,09:24:22,UNDER急増,5132,1990.0,20300,25900,5600,27.6,
2026-07-13,09:25:24,UNDER急増,5892,2075.0,25100,31100,6000,23.9,
2026-07-13,09:31:53,UNDER急増,4011,2123.0,23800,29800,6000,25.2,
2026-07-13,09:33:26,UNDER急増,4075,914.0,11700,21200,9500,81.2,
2026-07-13,09:35:45,小口売り連続/WATCH,4446,850.0,,,,,5
2026-07-13,09:39:12,UNDER急増,9130,1494.0,17700,26200,8500,48.0,
2026-07-13,09:40:52,UNDER急増,9130,1485.0,16600,24400,7800,47.0,
2026-07-13,09:43:19,小口売り連続/WATCH,4575,764.0,,,,,5
2026-07-13,09:43:23,UNDER急増,4011,2090.0,21500,27500,6000,27.9,
2026-07-13,09:43:49,小口売り連続/WATCH,3686,74.0,,,,,5
2026-07-13,09:49:18,小口売り連続/STRONG,3686,74.0,,,,,10
2026-07-13,09:51:46,小口売り連続/WATCH,4446,871.0,,,,,5
2026-07-13,09:55:11,UNDER急増,4075,907.0,11900,19500,7600,63.9,
2026-07-13,09:55:49,UNDER急増,7352,419.0,43000,94200,51200,119.1,
2026-07-13,09:57:29,小口売り連続/WATCH,4011,2086.0,,,,,5
2026-07-13,09:58:06,UNDER急増,7352,418.0,46600,94500,47900,102.8,
2026-07-13,10:03:18,UNDER急増,7352,413.0,42800,93800,51000,119.2,
2026-07-13,10:03:39,UNDER急増,3747,426.0,52400,79600,27200,51.9,
2026-07-13,10:05:13,UNDER急増,4075,903.0,8600,18800,10200,118.6,
2026-07-13,10:07:07,UNDER急増,7352,415.0,42700,90600,47900,112.2,
2026-07-13,10:08:18,UNDER急増,6228,508.0,38700,55000,16300,42.1,
2026-07-13,10:08:46,UNDER急増,4395,767.0,39600,57200,17600,44.4,
2026-07-13,10:12:11,UNDER急増,4075,903.0,8600,17400,8800,102.3,
2026-07-13,10:14:12,UNDER急増,7352,412.0,47300,97600,50300,106.3,
2026-07-13,10:15:39,小口売り連続/WATCH,4176,260.0,,,,,5
2026-07-13,10:21:27,UNDER急増,5129,254.0,43300,82000,38700,89.4,
2026-07-13,10:21:30,UNDER急増,4570,999.0,40600,56900,16300,40.1,
2026-07-13,10:22:03,UNDER急増,4446,848.0,56500,71300,14800,26.2,
2026-07-13,10:22:38,UNDER急増,4570,1000.0,39200,55300,16100,41.1,
2026-07-13,10:24:08,小口売り連続/WATCH,5597,1414.0,,,,,5
2026-07-13,10:24:56,UNDER急増,3747,423.0,47500,77600,30100,63.4,
2026-07-13,10:25:35,UNDER急増,5129,246.0,36800,75100,38300,104.1,
2026-07-13,10:26:26,小口売り連続/WATCH,3692,5320.0,,,,,5
2026-07-13,10:28:20,UNDER急増,4395,762.0,41500,59100,17600,42.4,
2026-07-13,10:31:31,UNDER急増,4075,896.0,9600,18500,8900,92.7,
2026-07-13,10:32:47,UNDER急増,4840,650.0,8300,20300,12000,144.6,
2026-07-13,10:33:33,UNDER急増,5817,855.0,34200,48600,14400,42.1,
2026-07-13,10:34:17,UNDER急増,2321,142.0,87900,189200,101300,115.2,
2026-07-13,10:40:07,UNDER急増,4570,1000.0,39900,55900,16000,40.1,
2026-07-13,10:41:08,UNDER急増,4570,995.0,38600,54600,16000,41.5,
2026-07-13,10:41:31,小口売り連続/WATCH,4075,896.0,,,,,5
2026-07-13,10:42:33,UNDER急増,4395,762.0,41700,59300,17600,42.2,
2026-07-13,10:43:12,小口売り連続/WATCH,4894,4705.0,,,,,5
2026-07-13,10:44:44,UNDER急増,9229,151.0,117500,300300,182800,155.6,
2026-07-13,10:44:46,UNDER急増,4075,895.0,9600,19200,9600,100.0,
2026-07-13,10:45:15,小口売り連続/WATCH,2998,547.0,,,,,5
2026-07-13,10:48:12,小口売り連続/WATCH,5724,2401.0,,,,,5
2026-07-13,10:48:23,UNDER急増,5591,836.0,18500,29900,11400,61.6,
2026-07-13,10:51:52,小口売り連続/WATCH,5724,2385.0,,,,,5
2026-07-13,10:51:58,UNDER急増,4395,762.0,41100,58700,17600,42.8,
