,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,4889,レナサイエンス,Growth,バイオ・医療,1201,,-62.1,-45,1.27,457978,9,-22.86,✅,1,1機関が2回以上連続買戻し (Nomura International×4連続),98.7
1,6217,津田駒工業,Standard,ロボット・FA,828,,-69.4,-69.4,0.43,253320,6.08,6.84,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×10連続, Barclays Capital Securiti×2連続)",98.2
2,9337,トリドリ,Growth,サービス,1364,,-62,-58.9,2.27,27872,7.19,-16.01,,0,,97.7
3,4263,サスメド,Growth,DX・SaaS,549,,-55.4,-55.4,1.04,139835,6.86,-24.79,✅,1,1機関が2回以上連続買戻し (JPモルガン証券×2連続),96.2
4,5817,ＪＭＡＣＳ,Standard,内需・ディフェンシブ,1006,,-61,-61,0.4,178505,4.62,0.1,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×5連続, JPモルガン証券×2連続)",95.2
5,5707,東邦亜鉛,Prime,内需・ディフェンシブ,1081,,-56.9,-43.1,1.65,371098,5.65,27.63,,0,,93.8
6,4013,勤次郎,Growth,DX・SaaS,677,,-55.4,-34.6,1.02,49937,3.7,-3.42,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×8連続, モルガン・スタンレーMUFG×2連続)",93.6
7,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,4730,,-65.6,-54.4,0.91,125673,5.43,-16.28,✅,1,1機関が2回以上連続買戻し (大和証券×2連続),92.9
8,3747,インタートレード,Standard,DX・SaaS,414,,-71.2,-42.4,0.34,51297,3.19,-7.8,✅,2,"2機関が2回以上連続買戻し (大和証券×14連続, JPモルガン証券×5連続)",92.4
9,4894,クオリプス,Growth,バイオ・医療,5400,,-56.5,-56.5,0.82,137887,5.12,15.88,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×6連続),92.2
10,4579,ラクオリア創薬,Growth,バイオ・医療,512,,-65.1,-55.5,0.6,187328,2.99,4.07,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×5連続, Barclays Capital Securiti×5連続)",92
11,4288,アズジェント,Standard,DX・SaaS,483,,-50.7,-50.7,0.5,44813,4.76,12.33,✅,1,1機関が2回以上連続買戻し (大和証券×19連続),91.5
12,7794,イーディーピー,Growth,ゲーム・エンタメ,946,,-69.5,-69.5,0.78,476402,4.76,-7.53,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),91.5
13,3930,はてな,Growth,DX・SaaS,738,,-50.2,-45.5,1.43,35113,5.46,-33.99,,0,,91.2
14,4888,ステラファーマ,Growth,バイオ・医療,333,,-66.5,-66.5,0.62,401578,4.46,-1.19,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×4連続),90.9
15,3449,テクノフレックス,Standard,内需・ディフェンシブ,4050,,-62.2,-62.2,0.95,206258,11.31,-36.52,,0,,90
16,6433,ヒーハイスト,Standard,ロボット・FA,1014,,-61.7,-61.7,0.75,189602,7.11,-6.37,,0,,90
17,9556,ＩＮＴＬＯＯＰ,Growth,サービス,2060,,-57.7,-40.8,0.7,54962,4.35,13.75,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続, GOLDMAN SACHS×2連続)",89.7
18,1514,住石ホールディングス,Standard,内需・ディフェンシブ,646,,-57.7,-57.7,1,370870,3.67,8.94,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×8連続),89.3
19,2216,カンロ,Standard,内需・ディフェンシブ,1106,,-54.1,-32,1.53,94938,3.89,-6.82,,0,,89.1
20,5034,ｕｎｅｒｒｙ,Growth,DX・SaaS,2090,,-50.4,-26.6,1.37,25117,6.32,-13.85,,0,,88.7
21,6228,ジェイ・イー・ティ,Standard,ロボット・FA,501,,-58.1,-42.7,0.57,99410,6.12,-3.84,,0,,88.2
22,7034,プロレド・パートナーズ,Prime,サービス,382,,-52.5,-30.2,0.71,33732,5.93,4.37,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×2連続),88
23,3803,イメージ情報開発,Growth,DX・SaaS,532,,-81.9,-42.7,0.39,55445,5.44,9.47,,0,,86.9
24,5287,イトーヨーギョー,Standard,内需・ディフェンシブ,893,,-55.9,-36.2,1.31,18637,3.7,9.71,,0,,86.5
25,4395,アクリート,Growth,DX・SaaS,690,,-58.1,-50.7,0.86,103417,5.19,-12.1,,0,,86.4
26,4418,ＪＤＳＣ,Growth,DX・SaaS,852,,-56.2,-24.1,0.74,232877,4.95,-11.06,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×4連続),86.2
27,5729,日本精鉱,Standard,内需・ディフェンシブ,1746,,-57.2,-47.9,1.13,30747,4.4,11.71,,0,,86.1
28,5132,ｐｌｕｓｚｅｒｏ,Growth,DX・SaaS,2011,,-55.3,-24,0.38,69188,4.94,0.4,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),86.1
29,4422,ＶＡＬＵＥＮＥＸ,Growth,DX・SaaS,580,,-64.4,-64.4,0.29,159588,4.84,2.65,,0,,85.7
30,6580,ライトアップ,Growth,サービス,805,,-76.4,-69.9,0.94,43757,4.31,-5.63,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×4連続),85.6
31,5590,ネットスターズ,Growth,DX・SaaS,674,,-50.6,-27.1,0.5,311300,3.47,-2.32,✅,1,1機関が2回以上連続買戻し (大和証券×6連続),85.6
32,5597,ブルーイノベーション,Growth,DX・SaaS,1273,,-58.5,-58.2,0.6,67537,4.72,-8.61,,0,,85.4
33,9256,サクシード,Growth,サービス,1153,,-79.2,-79.2,0.92,250312,19.02,-76.71,,0,,85
34,4414,フレクト,Growth,DX・SaaS,1095,,-50.7,-33.6,0.98,19985,4.47,-11.19,,0,,85
35,5599,Ｓ＆Ｊ,Growth,DX・SaaS,999,,-59.9,-58.6,0.77,37567,4.43,-13.95,,0,,84.8
36,3963,シンクロ・フード,Prime,DX・SaaS,361,,-50.1,-38.3,0.53,114432,4.19,4.34,,0,,84.4
37,4166,かっこ,Growth,DX・SaaS,635,,-50.7,-29.2,0.47,15330,1.65,-5.08,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×10連続),84.4
38,2998,クリアル,Growth,内需・ディフェンシブ,506,,-67.1,-49.2,0.75,188887,4.01,-6.3,,0,,84
39,4570,免疫生物研究所,Growth,バイオ・医療,1041,,-72.6,-48.4,0.92,109770,3.97,1.17,,0,,83.9
40,5262,日本ヒューム,Prime,内需・ディフェンシブ,1146,,-56.7,-33,1.2,236108,2.93,11.05,,0,,83.8
41,4840,トライアイズ,Standard,サービス,555,,-58.6,-58.6,0.52,72840,6.41,-15.78,,0,,83.8
42,4199,ワンダープラネット,Growth,DX・SaaS,790,,-58.9,-53.5,0.46,26083,3.83,-18.22,,0,,83.7
43,9238,バリュークリエーション,Growth,サービス,405,,-77.9,-71,0.83,30622,6.31,8.29,,0,,83.6
44,6620,宮越ホールディングス,Prime,内需・ディフェンシブ,730,,-60,-30.5,0.43,195240,4.05,-2.01,,0,,83.5
45,4378,ＣＩＮＣ,Growth,DX・SaaS,497,,-69.1,-69.1,0.03,260233,3.62,-8.64,,0,,83.2
46,4075,ブレインズテクノロジー,Growth,DX・SaaS,906,,-56.9,-56.9,0.39,26830,3.59,-1.74,,0,,83.2
47,1885,東亜建設工業,Prime,内需・ディフェンシブ,2083,,-54.6,-54.6,0.99,476965,3.51,0.24,,0,,83
48,7369,メイホーホールディングス,Growth,サービス,354,,-63.4,-40.6,1.08,19452,5.61,2.61,,0,,83
49,5591,ＡＶＩＬＥＮ,Growth,DX・SaaS,800,,-52.8,-36.5,0.39,31818,3.34,-5.66,,0,,82.7
50,4412,サイエンスアーツ,Growth,DX・SaaS,1220,,-54,-51.5,0.32,44837,3.27,-7.08,,0,,82.6
51,5026,トリプルアイズ,Growth,DX・SaaS,590,,-56,-35.4,0.36,46217,3.15,-13.87,,0,,82.3
52,5031,モイ,Growth,DX・SaaS,341,,-63.3,-63.3,0.06,424907,3.14,-3.67,,0,,82.3
